Link,Volume Text

 10.0894 copyright & fair use

 WILLARD MCCARTY Thu, 24 Apr 1997 21:42:02 +0100 (BST)

 10.0895 snowing on the parade

 WILLARD MCCARTY Fri, 25 Apr 1997 23:40:20 +0100 (BST)

 10.0896 fair use conference

 WILLARD MCCARTY Fri, 25 Apr 1997 23:33:14 +0100 (BST)

 10.0897 junk mail & privacy

 WILLARD MCCARTY Fri, 25 Apr 1997 23:36:16 +0100 (BST)

 10.0897 new on WWW: More, various

 WILLARD MCCARTY Mon, 24 Mar 1997 22:07:29 +0000 (GMT)

 10.0898 Z39.50 standard; NHA Principles

 WILLARD MCCARTY Fri, 25 Apr 1997 23:32:32 +0100 (BST)

 10.0899 print & traditional views

 WILLARD MCCARTY Fri, 25 Apr 1997 23:36:44 +0100 (BST)

 10.0901 metrical analysis

 WILLARD MCCARTY Mon, 28 Apr 1997 23:08:10 +0100 (BST)

 10.0902 report; e-publication; new book

 WILLARD MCCARTY Mon, 28 Apr 1997 23:07:09 +0100 (BST)

 10.0903 EUROCALL Directory

 WILLARD MCCARTY Mon, 28 Apr 1997 23:09:29 +0100 (BST)

 10.0904 Text Encoding Summer School

 WILLARD MCCARTY Mon, 28 Apr 1997 23:07:42 +0100 (BST)

 10.0905 a synoptic view of the snow (a.k.a. Olsen contra TEI)

 WILLARD MCCARTY Mon, 28 Apr 1997 23:10:54 +0100 (BST)

 10.0906 DRH '97 deadline extended

 Willard McCarty Wed, 30 Apr 1997 21:15:25 +0100 (BST)

 10.0907 ACH/ALLC 97 program, registration, workshops

 Willard McCarty Wed, 30 Apr 1997 21:12:03 +0100 (BST)

 10.0908 announcements diverse & interesting

 Willard McCarty Wed, 30 Apr 1997 21:14:35 +0100 (BST)


 Willard McCarty Wed, 30 Apr 1997 21:14:06 +0100 (BST)

 10.0909 author?

 Willard McCarty Wed, 30 Apr 1997 21:15:57 +0100 (BST)

 10.0910 PMC call for reviewers

 Willard McCarty Thu, 1 May 1997 20:42:34 +0100 (BST)

 10.0911 basket-weaving

 Willard McCarty Thu, 1 May 1997 20:43:14 +0100 (BST)

 10.0912 new on WWW

 Willard McCarty Thu, 1 May 1997 20:43:50 +0100 (BST)

 10.0913 new at King's College London

 Willard McCarty Fri, 2 May 1997 20:03:10 +0100 (BST)

 10.0914 computer literacy courses?

 Willard McCarty Fri, 2 May 1997 20:05:06 +0100 (BST)

 10.0915 Technology Policy Working Group

 Willard McCarty Fri, 2 May 1997 20:03:52 +0100 (BST)

 10.0917 Cyberculture Studies; Gutenberg Project

 Willard McCarty Mon, 5 May 1997 22:13:37 +0100 (BST)

 10.0918 bibliographies from Web to standalone manager?

 Willard McCarty Mon, 5 May 1997 22:16:11 +0100 (BST)

 10.0919 colour imaging: answer and further question

 Willard McCarty Mon, 5 May 1997 22:14:14 +0100 (BST)

 10.0920 conference on logic in CL

 Willard McCarty Mon, 5 May 1997 22:15:16 +0100 (BST)

 10.523 citations in e-publications

 WILLARD MCCARTY Fri, 13 Dec 1996 22:01:25 +0000 (GMT)

 10.698 programming in the humanities

 WILLARD MCCARTY Thu, 13 Feb 1997 07:48:53 +0000 (GMT)

 10.916 conference & workshop

 Willard McCarty Fri, 2 May 1997 20:04:35 +0100 (BST)



Last message date: Mon 05 May 1997 - 17:24:04 EDT
Archived on: Thu May 22 1997 - 18:13:46 EDT

 Messages sorted by: [ date ][ thread ][ author ]
 Other mail archives



This archive was generated by hypermail 1.02.
"
Volume 115/97-5/98,"Humanist.Archives.Vol.11 by subject
Humanist.Archives.Vol.11 by subject

 Messages sorted by: [ date ][ thread ][ author ]
 Other mail archives


Starting: Thu 08 May 1997 - 16:51:59 CUT
Ending: Sat 04 Sep 1999 - 04:33:18 CUT
Messages: 680


 (no subject)

 Humanist Discussion Group Wed, 24 Dec 1997 14:18:26 +0000 (GMT)


 Humanist Discussion Group Wed, 17 Dec 1997 20:10:29 +0000 (GMT)


 Humanist Discussion Group Tue, 21 Oct 1997 22:16:32 +0100 (BST)

 11. 0644 Workshops

 Humanist Discussion Group Sat, 14 Mar 1998 19:15:05 +0000 (GMT)

 11.0006 spamming

 Humanist Discussion Group Thu, 8 May 1997 21:38:16 +0100 (BST)

 11.0007 online

 Humanist Discussion Group Thu, 8 May 1997 21:36:46 +0100 (BST)

 11.0008 birthday wishes

 Humanist Discussion Group Thu, 8 May 1997 21:35:38 +0100 (BST)

 11.0009 Arachnet? MLA Bibliography?

 Humanist Discussion Group Thu, 8 May 1997 21:37:37 +0100 (BST)

 11.0010 Virtual Macbeth

 Humanist Discussion Group Thu, 8 May 1997 21:36:14 +0100 (BST)

 11.0011 and we'll stay 10 forever and ever?

 Humanist Discussion Group Fri, 9 May 1997 20:58:11 +0100 (BST)

 11.0012 design of a scanning service?

 Humanist Discussion Group Fri, 9 May 1997 21:00:20 +0100 (BST)

 11.0013 Renaissance source materials online

 Humanist Discussion Group Fri, 9 May 1997 20:58:52 +0100 (BST)

 11.0014 online happenings

 Humanist Discussion Group Fri, 9 May 1997 21:01:08 +0100 (BST)

 11.0015 Arachnet; NewJour; Deep Blue

 Humanist Discussion Group Fri, 9 May 1997 20:59:45 +0100 (BST)

 11.0016 birthday messages

 Humanist Discussion Group Sat, 10 May 1997 19:05:11 +0100 (BST)

 11.0017 Deep Blue and human intelligence

 Humanist Discussion Group Sat, 10 May 1997 19:05:49 +0100 (BST)

 11.0018 editing for computers?

 Humanist Discussion Group Sat, 10 May 1997 19:06:36 +0100 (BST)

 11.0019 editing for whom/what?

 Humanist Discussion Group Mon, 12 May 1997 22:15:58 +0100 (BST)

 11.0020 CIEC; Monday MOO

 Humanist Discussion Group Mon, 12 May 1997 22:17:30 +0100 (BST)

 11.0021 memory? advice for a course?

 Humanist Discussion Group Mon, 12 May 1997 22:16:45 +0100 (BST)

 11.0022 Deep Blue, human intelligence and AI

 Humanist Discussion Group Mon, 12 May 1997 22:14:56 +0100 (BST)

 11.0023 NEH deadline

 Humanist Discussion Group Mon, 12 May 1997 22:13:20 +0100 (BST)

 11.0024 call of Kairos

 Humanist Discussion Group Mon, 12 May 1997 22:14:05 +0100 (BST)

 11.0025 American Studies; spam-away

 Humanist Discussion Group Tue, 13 May 1997 19:32:42 +0100 (BST)

 11.0026 editing for whom/what?

 Humanist Discussion Group Tue, 13 May 1997 19:34:48 +0100 (BST)

 11.0027 course on hypertext

 Humanist Discussion Group Tue, 13 May 1997 19:33:19 +0100 (BST)

 11.0028 Deep Blue, human intelligence and AI

 Humanist Discussion Group Tue, 13 May 1997 19:34:05 +0100 (BST)

 11.0029 Einstein's Brain? PhD programmes in ling/lit

 Humanist Discussion Group Tue, 13 May 1997 19:35:45 +0100 (BST)

 11.0030 Deep Blue, human intelligence, and AI

 Humanist Discussion Group Thu, 15 May 1997 18:26:05 +0100 (BST)

 11.0031 editing, the humanities, and CS

 Humanist Discussion Group Thu, 15 May 1997 18:27:00 +0100 (BST)

 11.0032 spamming and pushing

 Humanist Discussion Group Thu, 15 May 1997 18:28:14 +0100 (BST)

 11.0033 course design

 Humanist Discussion Group Thu, 15 May 1997 18:25:14 +0100 (BST)

 11.0034 job at NYU

 Humanist Discussion Group Thu, 15 May 1997 18:27:33 +0100 (BST)

 11.0035 state of AI; lecture series

 Humanist Discussion Group Thu, 15 May 1997 18:24:34 +0100 (BST)

 11.0036 CS, the humanities and AI

 Humanist Discussion Group Fri, 16 May 1997 19:44:02 +0100 (BST)

 11.0037 Computers and Philosophy

 Humanist Discussion Group Fri, 16 May 1997 19:42:47 +0100 (BST)

 11.0038 new CNI Director; Irish texts

 Humanist Discussion Group Fri, 16 May 1997 19:42:11 +0100 (BST)

 11.0039 CS and the humanities

 Humanist Discussion Group Sun, 18 May 1997 22:56:35 +0100 (BST)

 11.0040 Virtual Museum; D-Lib Magazine

 Humanist Discussion Group Sun, 18 May 1997 22:57:46 +0100 (BST)

 11.0041 digitizing workshop

 Humanist Discussion Group Sun, 18 May 1997 22:58:17 +0100 (BST)

 11.0042 spam warfare

 Humanist Discussion Group Sun, 18 May 1997 22:57:07 +0100 (BST)

 11.0043 Sexuality and Culture

 Humanist Discussion Group Mon, 19 May 1997 21:56:52 +0100 (BST)

 11.0044 American Studies; Dictionnaire de L'Academie

 Humanist Discussion Group Mon, 19 May 1997 21:57:58 +0100 (BST)

 11.0045 CS and the humanities

 Humanist Discussion Group Mon, 19 May 1997 21:59:20 +0100 (BST)

 11.0046 spam

 Humanist Discussion Group Mon, 19 May 1997 22:00:04 +0100 (BST)

 11.0047 software maintenance & re-engineering

 Humanist Discussion Group Mon, 19 May 1997 21:58:45 +0100 (BST)

 11.0048 conference & 2 workshops

 Humanist Discussion Group Tue, 20 May 1997 21:18:55 +0100 (BST)

 11.0049 tagging Dracula

 Humanist Discussion Group Tue, 20 May 1997 21:20:39 +0100 (BST)

 11.0050 pre-conference paper online, with gizmo

 Humanist Discussion Group Tue, 20 May 1997 21:22:23 +0100 (BST)

 11.0051 CS and the humanities: Roundtable press release

 Humanist Discussion Group Tue, 20 May 1997 21:19:47 +0100 (BST)

 11.0052 Cultural Attitudes: call for papers

 Humanist Discussion Group Tue, 20 May 1997 21:18:10 +0100 (BST)

 11.0057 Sexuality and Culture

 Humanist Discussion Group Thu, 22 May 1997 20:55:24 +0100 (BST)

 11.0058 BL on-line

 Humanist Discussion Group Thu, 22 May 1997 20:55:54 +0100 (BST)

 11.0059 mind no mind

 Humanist Discussion Group Thu, 22 May 1997 20:54:51 +0100 (BST)

 11.0060 possible hiatus

 Humanist Discussion Group Thu, 22 May 1997 20:54:19 +0100 (BST)

 11.0062 European language resources

 Humanist Discussion Group Fri, 23 May 1997 10:59:20 +0100 (BST)

 11.0063 ACH-ALLC FINAL REMINDER

 Humanist Discussion Group Fri, 23 May 1997 10:58:45 +0100 (BST)


 Humanist Discussion Group Fri, 23 May 1997 10:58:45 +0100 (BST)

 11.0064 Humanist archives at IATH

 Humanist Discussion Group Sun, 25 May 1997 12:42:34 +0100 (BST)

 11.0065 suiside philosophically considered?

 Humanist Discussion Group Sun, 25 May 1997 12:43:22 +0100 (BST)

 11.0066 Fair Use

 Humanist Discussion Group Sun, 25 May 1997 12:41:38 +0100 (BST)

 11.0067 Computers and Texts 14

 Humanist Discussion Group Sun, 25 May 1997 12:40:24 +0100 (BST)

 11.0068 American studies

 Humanist Discussion Group Tue, 27 May 1997 02:14:29 +0100 (BST)

 11.0069 suicide philosophically

 Humanist Discussion Group Tue, 27 May 1997 02:16:14 +0100 (BST)

 11.0070 spam filter-maker

 Humanist Discussion Group Tue, 27 May 1997 02:16:53 +0100 (BST)

 11.0071 KineJapan; Canadian copyright law

 Humanist Discussion Group Tue, 27 May 1997 02:15:20 +0100 (BST)

 11.0072 CETH summer workshop

 Humanist Discussion Group Wed, 28 May 1997 23:36:13 +0100 (BST)

 11.0073 computing and film

 Humanist Discussion Group Wed, 28 May 1997 23:31:44 +0100 (BST)

 11.0074 announcements

 Humanist Discussion Group Wed, 28 May 1997 23:30:25 +0100 (BST)

 11.0075 graduate curriculum session at ACH/ALLC

 Humanist Discussion Group Wed, 28 May 1997 23:34:04 +0100 (BST)

 11.0076 EPI-Centre?

 Humanist Discussion Group Wed, 28 May 1997 23:32:39 +0100 (BST)

 11.0077 suicide philosophically

 Humanist Discussion Group Wed, 28 May 1997 23:35:01 +0100 (BST)

 11.0078 suicide philosophically

 Humanist Discussion Group Sat, 31 May 1997 06:16:42 +0100 (BST)

 11.0079 electro-poetics; summer institute

 Humanist Discussion Group Sat, 31 May 1997 06:15:24 +0100 (BST)

 11.0080 EPI-Centre

 Humanist Discussion Group Sat, 31 May 1997 06:16:00 +0100 (BST)

 11.0081 suicide

 Humanist Discussion Group Tue, 3 Jun 1997 23:54:45 +0100 (BST)

 11.0082 bad writing wins

 Humanist Discussion Group Tue, 3 Jun 1997 23:51:51 +0100 (BST)

 11.0083 censorship: CDA decision

 Humanist Discussion Group Tue, 3 Jun 1997 23:52:50 +0100 (BST)

 11.0084 announcements diverse and interesting

 Humanist Discussion Group Tue, 3 Jun 1997 23:51:02 +0100 (BST)

 11.0085 privacy?

 Humanist Discussion Group Tue, 3 Jun 1997 23:53:59 +0100 (BST)

 11.0086 Humanities Computing Repository

 Humanist Discussion Group Thu, 5 Jun 1997 00:30:15 +0100 (BST)

 11.0087 bad writing

 Humanist Discussion Group Thu, 5 Jun 1997 00:31:58 +0100 (BST)

 11.0088 Make the Link workshop

 Humanist Discussion Group Thu, 5 Jun 1997 00:29:04 +0100 (BST)

 11.0089 censorship and privacy

 Humanist Discussion Group Thu, 5 Jun 1997 00:32:55 +0100 (BST)

 11.0090 bad writing

 Humanist Discussion Group Sun, 8 Jun 1997 15:56:35 +0100 (BST)

 11.0091 ruminations

 Humanist Discussion Group Sun, 8 Jun 1997 15:57:38 +0100 (BST)

 11.0092 bad writing

 Humanist Discussion Group Thu, 12 Jun 1997 12:10:46 +0100 (BST)

 11.0093 announcements

 Humanist Discussion Group Thu, 12 Jun 1997 12:10:18 +0100 (BST)

 11.0094 dealing with Greek

 Humanist Discussion Group Thu, 12 Jun 1997 12:12:01 +0100 (BST)

 11.0095 ruminations on the field

 Humanist Discussion Group Thu, 12 Jun 1997 12:15:51 +0100 (BST)

 11.0096 e-publishing innovations

 Humanist Discussion Group Thu, 12 Jun 1997 12:11:27 +0100 (BST)

 11.0097 Hume site(s)?

 Humanist Discussion Group Thu, 12 Jun 1997 12:16:28 +0100 (BST)

 11.0098 challenges & other Online matters

 Humanist Discussion Group Thu, 12 Jun 1997 12:15:14 +0100 (BST)

 11.0099 bad writing

 Humanist Discussion Group Fri, 13 Jun 1997 09:46:20 +0100 (BST)

 11.0100 ruminations

 Humanist Discussion Group Fri, 13 Jun 1997 09:48:17 +0100 (BST)

 11.0101 future of computing

 Humanist Discussion Group Fri, 13 Jun 1997 09:46:55 +0100 (BST)

 11.0102 environmental questions

 Humanist Discussion Group Fri, 13 Jun 1997 09:47:47 +0100 (BST)

 11.0103 announcements

 Humanist Discussion Group Fri, 13 Jun 1997 09:04:57 +0100 (BST)

 11.0105 computing: its present and future

 Humanist Discussion Group Fri, 13 Jun 1997 20:22:23 +0100 (BST)

 11.0106 dictionary; hypermedia; technophobia

 Humanist Discussion Group Fri, 13 Jun 1997 20:20:25 +0100 (BST)

 11.0107 Hume on WWW

 Humanist Discussion Group Fri, 13 Jun 1997 20:22:47 +0100 (BST)

 11.0108 writing (? bad), theory, computers

 Humanist Discussion Group Fri, 13 Jun 1997 20:21:33 +0100 (BST)

 11.0109 tenure & the fate of universities

 Humanist Discussion Group Fri, 13 Jun 1997 20:24:18 +0100 (BST)

 11.0110 tenure & technology on WWW

 Humanist Discussion Group Tue, 17 Jun 1997 20:26:51 +0100 (BST)

 11.0111 bad writing, computing &c.

 Humanist Discussion Group Tue, 17 Jun 1997 20:24:33 +0100 (BST)

 11.0112 microfilm scanning? refs to philosophical suidide?

 Humanist Discussion Group Tue, 17 Jun 1997 20:26:16 +0100 (BST)

 11.0113 contributions to Humanist

 Humanist Discussion Group Tue, 17 Jun 1997 20:25:33 +0100 (BST)

 11.0114 computer literacy resource

 Humanist Discussion Group Tue, 17 Jun 1997 20:25:04 +0100 (BST)

 11.0115 WorldCALL conference

 Humanist Discussion Group Tue, 17 Jun 1997 20:23:56 +0100 (BST)

 11.0116 microfilm scanning

 Humanist Discussion Group Wed, 18 Jun 1997 21:44:20 +0100 (BST)

 11.0117 paranoia about lurkers?

 Humanist Discussion Group Wed, 18 Jun 1997 21:43:22 +0100 (BST)

 11.0118 was eigentlich geschehen ist

 Humanist Discussion Group Wed, 18 Jun 1997 21:42:17 +0100 (BST)

 11.0119 handmade web pages?

 Humanist Discussion Group Wed, 18 Jun 1997 21:43:52 +0100 (BST)

 11.0120 scanning

 Humanist Discussion Group Thu, 19 Jun 1997 23:19:11 +0100 (BST)

 11.0121 bad writing

 Humanist Discussion Group Thu, 19 Jun 1997 23:18:34 +0100 (BST)

 11.0122 TEI 10th Anniversary Conference

 Humanist Discussion Group Thu, 19 Jun 1997 23:18:00 +0100 (BST)

 11.0123 present & future of computing

 Humanist Discussion Group Sun, 22 Jun 1997 10:31:55 +0100 (BST)

 11.0124 lurkers, battle cries, and poetry

 Humanist Discussion Group Sun, 22 Jun 1997 10:30:32 +0100 (BST)

 11.0125 computationally-intensive methods

 Humanist Discussion Group Sun, 22 Jun 1997 10:27:13 +0100 (BST)

 11.0126 new on WWW: cyberculture, multimedia course

 Humanist Discussion Group Sun, 22 Jun 1997 10:33:08 +0100 (BST)

 11.0127 ethics survey

 Humanist Discussion Group Sun, 22 Jun 1997 10:31:08 +0100 (BST)

 11.0128 when bad writing was BAD

 Humanist Discussion Group Sun, 22 Jun 1997 10:26:17 +0100 (BST)

 11.0129 job at Michigan

 Humanist Discussion Group Sun, 22 Jun 1997 10:28:02 +0100 (BST)

 11.0130 tenure & technology

 Humanist Discussion Group Sun, 22 Jun 1997 10:32:19 +0100 (BST)

 11.0131 list software? economics of e-publishing?

 Humanist Discussion Group Mon, 23 Jun 1997 22:27:46 +0100 (BST)

 11.0132 virtual conference; new online forum

 Humanist Discussion Group Mon, 23 Jun 1997 22:26:29 +0100 (BST)

 11.0133 pleasure & knowledge

 Humanist Discussion Group Mon, 23 Jun 1997 22:26:56 +0100 (BST)

 11.0134 economists

 Humanist Discussion Group Wed, 25 Jun 1997 19:51:11 +0100 (BST)

 11.0135 list software

 Humanist Discussion Group Wed, 25 Jun 1997 19:51:50 +0100 (BST)

 11.0136 communications research; new TACT software

 Humanist Discussion Group Wed, 25 Jun 1997 19:50:40 +0100 (BST)

 11.0137 rationality, computing and desire

 Humanist Discussion Group Wed, 25 Jun 1997 19:52:55 +0100 (BST)

 11.0138 discussion on Humanist

 Humanist Discussion Group Fri, 27 Jun 1997 21:18:51 +0100 (BST)

 11.0139 new Babble; TACT European server down

 Humanist Discussion Group Fri, 27 Jun 1997 21:17:19 +0100 (BST)

 11.0140 Freud; American library budgets

 Humanist Discussion Group Fri, 27 Jun 1997 21:18:04 +0100 (BST)

 11.0141 technical vs. philosophical

 Humanist Discussion Group Mon, 30 Jun 1997 22:12:55 +0100 (BST)

 11.0142 research profiles?

 Humanist Discussion Group Mon, 30 Jun 1997 22:13:22 +0100 (BST)

 11.0143 new on WWW

 Humanist Discussion Group Mon, 30 Jun 1997 22:14:00 +0100 (BST)

 11.0145 mindless enthusiasms

 Humanist Discussion Group Wed, 2 Jul 1997 19:52:27 +0100 (BST)

 11.0146 Theban moon is bigger?

 Humanist Discussion Group Wed, 2 Jul 1997 19:53:23 +0100 (BST)

 11.0148 wiring the schools

 Humanist Discussion Group Sat, 5 Jul 1997 15:12:56 +0100 (BST)

 11.0149 mindless enthusiasms

 Humanist Discussion Group Sat, 5 Jul 1997 15:13:25 +0100 (BST)

 11.0150 announcements

 Humanist Discussion Group Sat, 5 Jul 1997 15:12:07 +0100 (BST)

 11.0151 scanning microfilm

 Humanist Discussion Group Sat, 5 Jul 1997 15:14:42 +0100 (BST)

 11.0152 Online items

 Humanist Discussion Group Sat, 5 Jul 1997 15:14:13 +0100 (BST)

 11.0153 Multimodal Communication conference

 Humanist Discussion Group Wed, 9 Jul 1997 20:15:46 +0100 (BST)

 11.0154 wiring the schools

 Humanist Discussion Group Wed, 9 Jul 1997 20:18:32 +0100 (BST)

 11.0155 Making of America archive > 1000 volumes

 Humanist Discussion Group Wed, 9 Jul 1997 20:18:01 +0100 (BST)

 11.0156 announcements, bursaries for DRH

 Humanist Discussion Group Wed, 9 Jul 1997 20:14:59 +0100 (BST)

 11.0157 translator training job

 Humanist Discussion Group Wed, 9 Jul 1997 20:16:40 +0100 (BST)

 11.0158 mediology

 Humanist Discussion Group Wed, 9 Jul 1997 20:17:10 +0100 (BST)

 11.0159 WordCruncher; ELRA; Heinz E-Library

 Humanist Discussion Group Thu, 10 Jul 1997 23:41:01 +0100 (BST)

 11.0160 Online bits; cross-culture

 Humanist Discussion Group Thu, 10 Jul 1997 23:42:52 +0100 (BST)

 11.0161 WWW specs?

 Humanist Discussion Group Thu, 10 Jul 1997 23:42:11 +0100 (BST)

 11.0162 wiring the schools

 Humanist Discussion Group Thu, 10 Jul 1997 23:43:21 +0100 (BST)

 11.0163 NEH bulletins (U.S.)

 Humanist Discussion Group Thu, 10 Jul 1997 23:41:46 +0100 (BST)

 11.0164 mediology, enthusiasms and school-wirings

 Humanist Discussion Group Mon, 14 Jul 1997 11:23:18 +0100 (BST)

 11.0165 moral subjects?

 Humanist Discussion Group Mon, 14 Jul 1997 11:21:04 +0100 (BST)

 11.0167 PACS Review; Digital Object Identifiers

 Humanist Discussion Group Mon, 14 Jul 1997 11:20:24 +0100 (BST)

 11.0168 wiring the schools

 Humanist Discussion Group Tue, 15 Jul 1997 10:25:18 +0100 (BST)

 11.0169 the info-transfer syndrome

 Humanist Discussion Group Tue, 15 Jul 1997 10:24:50 +0100 (BST)

 11.0170 International Writing Program

 Humanist Discussion Group Tue, 15 Jul 1997 10:23:26 +0100 (BST)

 11.0171 on mediology

 Humanist Discussion Group Tue, 15 Jul 1997 20:25:29 +0100 (BST)

 11.0172 ALLC/ACH '98 call for papers

 Humanist Discussion Group Tue, 15 Jul 1997 20:24:57 +0100 (BST)

 11.0173 wired enthusiasms & plain speech

 Humanist Discussion Group Tue, 15 Jul 1997 20:27:21 +0100 (BST)

 11.0174 Welsh Dictionary site; job vacancy

 Humanist Discussion Group Tue, 15 Jul 1997 20:24:04 +0100 (BST)

 11.0175 NINCH announcements (U.K. & U.S.)

 Humanist Discussion Group Thu, 17 Jul 1997 08:19:58 +0100 (BST)

 11.0176 e-publishing in science

 Humanist Discussion Group Thu, 17 Jul 1997 08:21:39 +0100 (BST)

 11.0177 wired enthusiasms

 Humanist Discussion Group Thu, 17 Jul 1997 08:22:30 +0100 (BST)

 11.0178 E-publishing conference correction; ACM track

 Humanist Discussion Group Sat, 19 Jul 1997 09:25:55 +0100 (BST)

 11.0179 job at Sussex

 Humanist Discussion Group Sat, 19 Jul 1997 09:26:23 +0100 (BST)

 11.018 Hypercard and the Web

 Humanist Discussion Group Sat, 26 Jul 1997 16:31:21 +0100 (BST)

 11.0180 AMICO update, Online items

 Humanist Discussion Group Sat, 19 Jul 1997 09:23:32 +0100 (BST)

 11.0181 Art Museum Image Consortium

 Humanist Discussion Group Wed, 23 Jul 1997 17:47:37 +0100 (BST)

 11.0182 Hypercard to Web?

 Humanist Discussion Group Wed, 23 Jul 1997 17:48:30 +0100 (BST)

 11.0183 Hypercard and the Web

 Humanist Discussion Group Thu, 24 Jul 1997 19:57:17 +0100 (BST)

 11.0184 adjunct position in Turin

 Humanist Discussion Group Thu, 24 Jul 1997 19:57:58 +0100 (BST)

 11.0185 Online items

 Humanist Discussion Group Thu, 24 Jul 1997 19:58:23 +0100 (BST)

 11.0186 mini-CD recording? Ph.D. in applied computing?

 Humanist Discussion Group Sat, 26 Jul 1997 16:32:09 +0100 (BST)

 11.0188 Nearer, my Couch, to Thee

 Humanist Discussion Group Sat, 26 Jul 1997 16:33:11 +0100 (BST)

 11.0189 EMLS 3.1 at last

 Humanist Discussion Group Sat, 26 Jul 1997 16:30:53 +0100 (BST)

 11.0190 either/or, both/and

 Humanist Discussion Group Sat, 26 Jul 1997 16:30:11 +0100 (BST)

 11.0191 Ph.D. in humanities computing

 Humanist Discussion Group Mon, 28 Jul 1997 20:33:17 +0100 (BST)

 11.0192 either/or

 Humanist Discussion Group Mon, 28 Jul 1997 20:32:24 +0100 (BST)

 11.0193 Digital Resources for the Humanities 1997

 Humanist Discussion Group Mon, 28 Jul 1997 20:31:45 +0100 (BST)

 11.0194 metaphors

 Humanist Discussion Group Mon, 28 Jul 1997 20:32:49 +0100 (BST)

 11.0195 either/or

 Humanist Discussion Group Tue, 29 Jul 1997 21:31:45 +0100 (BST)

 11.0196 Ph.D. programmes

 Humanist Discussion Group Tue, 29 Jul 1997 21:32:25 +0100 (BST)

 11.0197 printer+scanner+copier?

 Humanist Discussion Group Tue, 29 Jul 1997 21:33:02 +0100 (BST)

 11.0198 conferences

 Humanist Discussion Group Tue, 29 Jul 1997 21:31:13 +0100 (BST)

 11.0199 either/or, p-envy, sciences vs humanities

 Humanist Discussion Group Wed, 30 Jul 1997 21:08:53 +0100 (BST)

 11.0200 printer+scanner+copier... and more

 Humanist Discussion Group Wed, 30 Jul 1997 21:09:32 +0100 (BST)

 11.0201 archives; cyberculture; world information

 Humanist Discussion Group Wed, 30 Jul 1997 21:07:23 +0100 (BST)

 11.0202 grant for PhD in humanities computing?

 Humanist Discussion Group Wed, 30 Jul 1997 21:10:07 +0100 (BST)

 11.0203 Human Choice and Computers conference

 Humanist Discussion Group Wed, 30 Jul 1997 21:08:07 +0100 (BST)

 11.0205 Sense of Space

 Humanist Discussion Group Thu, 31 Jul 1997 19:43:33 +0100 (BST)

 11.0206 metaphors

 Humanist Discussion Group Thu, 31 Jul 1997 19:43:57 +0100 (BST)

 11.0208 article needed

 Humanist Discussion Group Fri, 1 Aug 1997 21:22:46 +0100 (BST)

 11.0209 invitation for system bids

 Humanist Discussion Group Fri, 1 Aug 1997 21:20:51 +0100 (BST)

 11.0210 grumbling code

 Humanist Discussion Group Fri, 1 Aug 1997 21:21:31 +0100 (BST)

 11.0211 counterfactuals

 Humanist Discussion Group Fri, 1 Aug 1997 21:22:05 +0100 (BST)

 11.0212 Hypermedia and Interactivity conference

 Humanist Discussion Group Sun, 3 Aug 1997 22:13:47 +0100 (BST)

 11.0213 standards & innovation

 Humanist Discussion Group Sun, 3 Aug 1997 22:15:58 +0100 (BST)

 11.0214 net-watching

 Humanist Discussion Group Sun, 3 Aug 1997 22:15:21 +0100 (BST)

 11.0215 brief handover

 Humanist Discussion Group Sun, 3 Aug 1997 22:14:16 +0100 (BST)

 11.0225 European cybercafes? distributed work?

 Humanist Discussion Group Tue, 12 Aug 1997 23:43:35 +0100 (BST)

 11.0226 influencing software development

 Humanist Discussion Group Tue, 12 Aug 1997 23:44:10 +0100 (BST)

 11.0227 announcements of significance

 Humanist Discussion Group Tue, 12 Aug 1997 23:41:13 +0100 (BST)

 11.0228 IRAL '97; TEI 10th Anniversary

 Humanist Discussion Group Tue, 12 Aug 1997 23:42:38 +0100 (BST)

 11.0229 old influence

 Humanist Discussion Group Wed, 13 Aug 1997 21:28:31 +0100 (BST)

 11.0230 hand-held scanners? Mac display software?

 Humanist Discussion Group Wed, 13 Aug 1997 21:27:56 +0100 (BST)

 11.0231 exteriorising mind, and the cybercafe

 Humanist Discussion Group Wed, 13 Aug 1997 21:27:18 +0100 (BST)

 11.0232 UNESCO World Information Report

 Humanist Discussion Group Wed, 13 Aug 1997 21:26:31 +0100 (BST)

